start load data...
load data1 fine...
Iteration is stopped.
tests size: 51481
load data2 fine...
pred_cur:1 traget_cur:1 817/871600 817/871601

pred_cur:1 traget_cur:1 801/26610 801/26611

pred_cur:1 traget_cur:1 843/2217640 843/2217641

pred_cur:0 traget_cur:1 841/2095620 841/2095621

pred_cur:1 traget_cur:1 889/4594100 889/4594101

pred_cur:1 traget_cur:1 805/237110 805/237111

pred_cur:1 traget_cur:1 900/5184120 900/5184121

pred_cur:1 traget_cur:1 845/2291100 845/2291101

pred_cur:1 traget_cur:1 899/5129140 899/5129141

pred_cur:1 traget_cur:1 856/2889630 856/2889631

pred_cur:1 traget_cur:1 879/4076610 879/4076611

pred_cur:1 traget_cur:1 816/782600 816/782601

pred_cur:1 traget_cur:1 841/2120100 841/2120101

pred_cur:1 traget_cur:1 888/4529140 888/4529141

pred_cur:1 traget_cur:1 850/2581130 850/2581131

pred_cur:1 traget_cur:1 877/3995620 877/3995621

pred_cur:1 traget_cur:1 816/805620 816/805621

pred_cur:1 traget_cur:1 870/3622630 870/3622631

pred_cur:1 traget_cur:1 854/2805640 854/2805641

pred_cur:1 traget_cur:1 872/3712140 872/3712141

pred_cur:0 traget_cur:1 841/2121110 841/2121111

pred_cur:1 traget_cur:1 857/2930620 857/2930621

pred_cur:1 traget_cur:1 889/4601130 889/4601131

pred_cur:1 traget_cur:1 828/1430610 828/1430611

pred_cur:1 traget_cur:1 880/4110640 880/4110641

pred_cur:1 traget_cur:1 823/1148130 823/1148131

pred_cur:1 traget_cur:1 854/2757610 854/2757611

pred_cur:1 traget_cur:1 861/3140130 861/3140131

pred_cur:1 traget_cur:1 853/2749100 853/2749101

pred_cur:0 traget_cur:1 865/3360600 865/3360601

pred_cur:1 traget_cur:1 872/3694130 872/3694131

pred_cur:1 traget_cur:1 821/1064600 821/1064601

pred_cur:1 traget_cur:1 858/2989600 858/2989601

pred_cur:1 traget_cur:1 822/1118120 822/1118121

pred_cur:1 traget_cur:1 889/4583620 889/4583621

pred_cur:1 traget_cur:1 866/3385640 866/3385641

pred_cur:1 traget_cur:1 853/2718620 853/2718621

pred_cur:1 traget_cur:1 870/3628610 870/3628611

pred_cur:1 traget_cur:1 828/1449600 828/1449601

pred_cur:1 traget_cur:1 888/4571120 888/4571121

pred_cur:1 traget_cur:1 845/2330140 845/2330141

pred_cur:1 traget_cur:1 802/91610 802/91611

pred_cur:1 traget_cur:1 859/3026640 859/3026641

pred_cur:1 traget_cur:1 868/3528130 868/3528131

pred_cur:1 traget_cur:1 820/1015130 820/1015131

pred_cur:1 traget_cur:1 842/2150130 842/2150131

pred_cur:1 traget_cur:1 828/1405620 828/1405621

pred_cur:1 traget_cur:1 825/1299640 825/1299641

pred_cur:1 traget_cur:1 897/5010600 897/5010601

pred_cur:1 traget_cur:1 842/2166120 842/2166121

pred_cur:1 traget_cur:1 899/5134620 899/5134621

pred_cur:1 traget_cur:1 834/1750610 834/1750611

pred_cur:1 traget_cur:1 864/3282600 864/3282601

pred_cur:1 traget_cur:1 865/3330120 865/3330121

pred_cur:1 traget_cur:1 857/2957140 857/2957141

pred_cur:1 traget_cur:1 842/2157120 842/2157121

pred_cur:1 traget_cur:1 878/4018120 878/4018121

pred_cur:1 traget_cur:1 853/2704120 853/2704121

pred_cur:1 traget_cur:1 818/917130 818/917131

pred_cur:1 traget_cur:1 812/621140 812/621141

pred_cur:1 traget_cur:1 879/4102600 879/4102601

pred_cur:1 traget_cur:1 882/4242100 882/4242101

pred_cur:1 traget_cur:1 848/2478640 848/2478641

pred_cur:1 traget_cur:1 857/2918110 857/2918111

pred_cur:1 traget_cur:1 880/4149610 880/4149611

pred_cur:1 traget_cur:1 875/3872630 875/3872631

pred_cur:1 traget_cur:1 882/4230100 882/4230101

pred_cur:1 traget_cur:1 875/3882140 875/3882141

pred_cur:1 traget_cur:1 831/1579120 831/1579121

pred_cur:1 traget_cur:1 820/1000140 820/1000141

pred_cur:1 traget_cur:1 801/10100 801/10101

pred_cur:1 traget_cur:1 851/2622120 851/2622121

pred_cur:1 traget_cur:1 872/3728610 872/3728611

pred_cur:1 traget_cur:1 830/1514610 830/1514611

pred_cur:1 traget_cur:1 867/3450640 867/3450641

pred_cur:1 traget_cur:1 871/3647640 871/3647641

pred_cur:1 traget_cur:1 868/3492130 868/3492131

pred_cur:1 traget_cur:1 808/414620 808/414621

pred_cur:1 traget_cur:1 850/2566620 850/2566621

pred_cur:1 traget_cur:1 854/2776630 854/2776631

pred_cur:1 traget_cur:1 842/2162600 842/2162601

pred_cur:1 traget_cur:1 900/5163620 900/5163621

pred_cur:1 traget_cur:1 853/2740130 853/2740131

pred_cur:1 traget_cur:1 899/5122120 899/5122121

pred_cur:1 traget_cur:1 893/4816120 893/4816121

pred_cur:1 traget_cur:1 848/2463610 848/2463611

pred_cur:0 traget_cur:1 829/1457140 829/1457141

pred_cur:1 traget_cur:1 877/3968620 877/3968621

pred_cur:1 traget_cur:1 888/4536630 888/4536631

pred_cur:1 traget_cur:1 883/4272130 883/4272131

pred_cur:1 traget_cur:1 876/3938120 876/3938121

pred_cur:1 traget_cur:1 809/444100 809/444101

pred_cur:1 traget_cur:1 886/4457120 886/4457121

pred_cur:1 traget_cur:1 865/3345120 865/3345121

pred_cur:1 traget_cur:1 827/1369600 827/1369601

pred_cur:0 traget_cur:1 862/3176610 862/3176611

pred_cur:1 traget_cur:1 895/4921100 895/4921101

pred_cur:1 traget_cur:1 892/4768630 892/4768631

pred_cur:1 traget_cur:1 825/1285600 825/1285601

pred_cur:1 traget_cur:1 871/3675640 871/3675641

pred_cur:1 traget_cur:1 819/952600 819/952601

pred_cur:1 traget_cur:1 887/4521610 887/4521611

pred_cur:1 traget_cur:1 813/637640 813/637641

pred_cur:1 traget_cur:1 853/2704130 853/2704131

pred_cur:1 traget_cur:1 896/4945100 896/4945101

pred_cur:1 traget_cur:1 853/2722620 853/2722621

pred_cur:1 traget_cur:1 841/2122120 841/2122121

pred_cur:1 traget_cur:1 811/566640 811/566641

pred_cur:1 traget_cur:1 880/4130110 880/4130111

pred_cur:1 traget_cur:1 842/2174630 842/2174631

pred_cur:0 traget_cur:1 883/4297130 883/4297131

pred_cur:1 traget_cur:1 818/927120 818/927121

pred_cur:1 traget_cur:1 873/3783140 873/3783141

pred_cur:1 traget_cur:1 829/1466110 829/1466111

pred_cur:1 traget_cur:1 899/5142600 899/5142601

pred_cur:1 traget_cur:1 831/1586610 831/1586611

pred_cur:1 traget_cur:1 849/2503100 849/2503101

pred_cur:1 traget_cur:1 826/1333600 826/1333601

pred_cur:1 traget_cur:1 880/4155120 880/4155121

pred_cur:1 traget_cur:1 881/4182100 881/4182101

pred_cur:1 traget_cur:1 847/2438130 847/2438131

pred_cur:1 traget_cur:1 857/2916110 857/2916111

pred_cur:1 traget_cur:1 852/2683130 852/2683131

pred_cur:1 traget_cur:1 802/81110 802/81111

pred_cur:1 traget_cur:1 825/1252610 825/1252611

pred_cur:1 traget_cur:1 839/2002610 839/2002611

pred_cur:0 traget_cur:1 884/4318640 884/4318641

pred_cur:1 traget_cur:1 810/505110 810/505111

pred_cur:1 traget_cur:1 897/5031630 897/5031631

pred_cur:1 traget_cur:1 840/2078140 840/2078141

pred_cur:1 traget_cur:1 874/3816130 874/3816131

pred_cur:1 traget_cur:1 809/427620 809/427621

pred_cur:1 traget_cur:1 845/2338610 845/2338611

pred_cur:1 traget_cur:1 893/4807600 893/4807601

pred_cur:1 traget_cur:1 838/1955120 838/1955121

pred_cur:1 traget_cur:1 890/4650640 890/4650641

pred_cur:0 traget_cur:1 843/2222110 843/2222111

pred_cur:0 traget_cur:1 845/2311630 845/2311631

pred_cur:1 traget_cur:1 802/63130 802/63131

pred_cur:1 traget_cur:1 850/2560100 850/2560101

pred_cur:1 traget_cur:1 806/306100 806/306101

pred_cur:0 traget_cur:1 848/2478140 848/2478141

pred_cur:1 traget_cur:1 873/3750620 873/3750621

pred_cur:1 traget_cur:1 882/4247640 882/4247641

pred_cur:1 traget_cur:1 848/2477130 848/2477131

pred_cur:1 traget_cur:1 861/3164120 861/3164121

pred_cur:1 traget_cur:1 810/494110 810/494111

pred_cur:1 traget_cur:1 846/2343600 846/2343601

pred_cur:1 traget_cur:1 893/4786120 893/4786121

pred_cur:1 traget_cur:1 889/4616640 889/4616641

pred_cur:1 traget_cur:1 813/671630 813/671631

pred_cur:1 traget_cur:1 862/3223120 862/3223121

pred_cur:1 traget_cur:1 877/3990610 877/3990611

pred_cur:1 traget_cur:1 802/84620 802/84621

pred_cur:1 traget_cur:1 852/2666630 852/2666631

pred_cur:1 traget_cur:1 864/3298110 864/3298111

pred_cur:1 traget_cur:1 899/5112120 899/5112121

pred_cur:1 traget_cur:1 883/4269640 883/4269641

pred_cur:1 traget_cur:1 805/226610 805/226611

pred_cur:1 traget_cur:1 856/2910600 856/2910601

pred_cur:1 traget_cur:1 864/3320640 864/3320641

pred_cur:1 traget_cur:1 886/4428100 886/4428101

pred_cur:1 traget_cur:1 830/1549140 830/1549141

pred_cur:1 traget_cur:1 837/1890140 837/1890141

pred_cur:1 traget_cur:1 846/2355120 846/2355121

pred_cur:0 traget_cur:1 805/216140 805/216141

pred_cur:1 traget_cur:1 808/385130 808/385131

pred_cur:1 traget_cur:1 823/1162140 823/1162141

pred_cur:1 traget_cur:1 875/3861600 875/3861601

pred_cur:1 traget_cur:1 880/4108640 880/4108641

pred_cur:1 traget_cur:1 825/1296120 825/1296121

pred_cur:1 traget_cur:1 841/2125110 841/2125111

pred_cur:0 traget_cur:1 841/2099120 841/2099121

pred_cur:1 traget_cur:1 816/827600 816/827601

pred_cur:1 traget_cur:1 886/4420100 886/4420101

pred_cur:0 traget_cur:1 883/4308610 883/4308611

pred_cur:1 traget_cur:1 809/436610 809/436611

pred_cur:1 traget_cur:1 893/4833630 893/4833631

pred_cur:1 traget_cur:1 814/682640 814/682641

pred_cur:1 traget_cur:1 880/4137120 880/4137121

pred_cur:1 traget_cur:1 833/1692100 833/1692101

pred_cur:1 traget_cur:1 864/3301120 864/3301121

pred_cur:1 traget_cur:1 829/1505110 829/1505111

pred_cur:1 traget_cur:1 840/2073610 840/2073611

pred_cur:1 traget_cur:1 860/3077100 860/3077101

pred_cur:1 traget_cur:1 869/3559120 869/3559121

pred_cur:1 traget_cur:1 834/1726140 834/1726141

pred_cur:1 traget_cur:1 891/4714110 891/4714111

pred_cur:1 traget_cur:1 892/4747140 892/4747141

pred_cur:1 traget_cur:1 824/1226120 824/1226121

pred_cur:1 traget_cur:1 832/1636100 832/1636101

pred_cur:1 traget_cur:1 841/2080100 841/2080101

pred_cur:1 traget_cur:1 860/3070640 860/3070641

pred_cur:1 traget_cur:1 860/3082100 860/3082101

pred_cur:1 traget_cur:1 896/4987600 896/4987601

pred_cur:1 traget_cur:1 814/720120 814/720121

pred_cur:1 traget_cur:1 870/3593100 870/3593101

pred_cur:1 traget_cur:1 809/426100 809/426101

pred_cur:1 traget_cur:1 899/5143140 899/5143141

pred_cur:1 traget_cur:1 883/4277640 883/4277641

pred_cur:1 traget_cur:1 818/887140 818/887141

pred_cur:1 traget_cur:1 848/2444120 848/2444121

pred_cur:1 traget_cur:1 809/458630 809/458631

pred_cur:1 traget_cur:1 857/2947120 857/2947121

pred_cur:1 traget_cur:1 805/236600 805/236601

pred_cur:1 traget_cur:1 868/3517120 868/3517121

pred_cur:1 traget_cur:1 900/5184100 900/5184101

pred_cur:1 traget_cur:1 838/1954640 838/1954641

pred_cur:1 traget_cur:1 881/4175610 881/4175611

pred_cur:1 traget_cur:1 895/4900630 895/4900631

pred_cur:1 traget_cur:1 836/1833640 836/1833641

pred_cur:1 traget_cur:1 852/2697630 852/2697631

pred_cur:1 traget_cur:1 837/1876600 837/1876601

pred_cur:1 traget_cur:1 844/2285110 844/2285111

pred_cur:1 traget_cur:1 815/748640 815/748641

pred_cur:1 traget_cur:1 892/4757630 892/4757631

pred_cur:1 traget_cur:1 802/69620 802/69621

pred_cur:1 traget_cur:1 821/1066130 821/1066131

pred_cur:1 traget_cur:1 838/1954100 838/1954101

pred_cur:1 traget_cur:1 896/4982630 896/4982631

pred_cur:1 traget_cur:1 849/2529610 849/2529611

pred_cur:1 traget_cur:1 899/5120610 899/5120611

pred_cur:1 traget_cur:1 888/4567100 888/4567101

pred_cur:1 traget_cur:1 863/3260630 863/3260631

pred_cur:1 traget_cur:1 873/3745610 873/3745611

pred_cur:1 traget_cur:1 819/986110 819/986111

pred_cur:1 traget_cur:1 871/3643600 871/3643601

pred_cur:1 traget_cur:1 892/4761640 892/4761641

pred_cur:1 traget_cur:1 845/2318120 845/2318121

pred_cur:1 traget_cur:1 878/4042100 878/4042101

pred_cur:1 traget_cur:1 866/3427140 866/3427141

pred_cur:1 traget_cur:1 895/4905140 895/4905141

pred_cur:1 traget_cur:1 843/2198600 843/2198601

pred_cur:1 traget_cur:1 867/3444100 867/3444101

pred_cur:1 traget_cur:1 825/1289630 825/1289631

pred_cur:1 traget_cur:1 829/1482130 829/1482131

pred_cur:1 traget_cur:1 874/3826630 874/3826631

pred_cur:1 traget_cur:1 848/2446130 848/2446131

pred_cur:1 traget_cur:1 844/2276110 844/2276111

pred_cur:1 traget_cur:1 883/4273600 883/4273601

pred_cur:0 traget_cur:1 820/998140 820/998141

pred_cur:1 traget_cur:1 880/4118630 880/4118631

pred_cur:1 traget_cur:1 816/826640 816/826641

pred_cur:1 traget_cur:1 810/495620 810/495621

pred_cur:1 traget_cur:1 810/486640 810/486641

pred_cur:1 traget_cur:1 854/2782640 854/2782641

pred_cur:1 traget_cur:1 900/5188120 900/5188121

pred_cur:1 traget_cur:1 835/1771130 835/1771131

pred_cur:1 traget_cur:1 816/796600 816/796601

pred_cur:1 traget_cur:1 878/4018640 878/4018641

pred_cur:1 traget_cur:1 833/1707640 833/1707641

pred_cur:0 traget_cur:1 808/364630 808/364631

pred_cur:1 traget_cur:1 829/1480640 829/1480641

pred_cur:1 traget_cur:1 822/1136630 822/1136631

pred_cur:1 traget_cur:1 828/1447620 828/1447621

pred_cur:1 traget_cur:1 811/534610 811/534611

pred_cur:1 traget_cur:1 882/4235610 882/4235611

pred_cur:1 traget_cur:1 877/3953600 877/3953601

pred_cur:1 traget_cur:1 821/1082140 821/1082141

pred_cur:1 traget_cur:1 861/3130620 861/3130621

pred_cur:1 traget_cur:1 830/1512620 830/1512621

pred_cur:1 traget_cur:1 870/3589610 870/3589611

pred_cur:0 traget_cur:1 886/4465120 886/4465121

pred_cur:1 traget_cur:1 868/3495130 868/3495131

pred_cur:1 traget_cur:1 822/1136610 822/1136611

pred_cur:1 traget_cur:1 872/3724620 872/3724621

pred_cur:1 traget_cur:1 879/4066620 879/4066621

pred_cur:1 traget_cur:1 805/239130 805/239131

pred_cur:1 traget_cur:1 805/226630 805/226631

pred_cur:1 traget_cur:1 854/2795630 854/2795631

pred_cur:1 traget_cur:1 821/1091130 821/1091131

pred_cur:1 traget_cur:1 841/2108100 841/2108101

pred_cur:0 traget_cur:1 889/4577140 889/4577141

pred_cur:1 traget_cur:1 891/4691610 891/4691611

pred_cur:1 traget_cur:1 821/1061620 821/1061621

pred_cur:1 traget_cur:1 875/3898600 875/3898601

pred_cur:1 traget_cur:1 847/2421620 847/2421621

pred_cur:1 traget_cur:1 852/2669120 852/2669121

pred_cur:1 traget_cur:1 864/3276630 864/3276631

pred_cur:1 traget_cur:1 836/1824620 836/1824621

pred_cur:1 traget_cur:1 832/1639120 832/1639121

pred_cur:1 traget_cur:1 883/4297640 883/4297641

pred_cur:1 traget_cur:1 845/2309110 845/2309111

pred_cur:0 traget_cur:1 862/3203130 862/3203131

pred_cur:1 traget_cur:1 855/2846110 855/2846111

pred_cur:1 traget_cur:1 858/2977130 858/2977131

pred_cur:1 traget_cur:1 871/3649630 871/3649631

pred_cur:1 traget_cur:1 862/3181120 862/3181121

pred_cur:1 traget_cur:1 824/1237140 824/1237141

pred_cur:0 traget_cur:1 880/4133100 880/4133101

pred_cur:1 traget_cur:1 828/1445620 828/1445621

pred_cur:1 traget_cur:1 806/306630 806/306631

pred_cur:1 traget_cur:1 898/5092110 898/5092111

pred_cur:1 traget_cur:1 832/1629130 832/1629131

pred_cur:0 traget_cur:1 884/4317640 884/4317641

pred_cur:1 traget_cur:1 883/4272140 883/4272141

pred_cur:1 traget_cur:1 826/1305630 826/1305631

pred_cur:1 traget_cur:1 877/3966110 877/3966111

pred_cur:1 traget_cur:1 803/106140 803/106141

pred_cur:1 traget_cur:1 850/2554600 850/2554601

pred_cur:1 traget_cur:1 888/4561110 888/4561111

pred_cur:1 traget_cur:1 827/1398140 827/1398141

pred_cur:1 traget_cur:1 831/1580610 831/1580611

pred_cur:1 traget_cur:1 826/1328140 826/1328141

pred_cur:1 traget_cur:1 833/1677600 833/1677601

pred_cur:1 traget_cur:1 827/1395110 827/1395111

pred_cur:1 traget_cur:1 892/4771640 892/4771641

pred_cur:1 traget_cur:1 845/2329610 845/2329611

pred_cur:1 traget_cur:1 802/88640 802/88641

pred_cur:1 traget_cur:1 838/1968120 838/1968121

pred_cur:1 traget_cur:1 865/3335110 865/3335111

pred_cur:1 traget_cur:1 844/2238130 844/2238131

pred_cur:1 traget_cur:1 820/1026120 820/1026121

pred_cur:1 traget_cur:1 821/1046610 821/1046611

pred_cur:1 traget_cur:1 808/368640 808/368641

pred_cur:1 traget_cur:1 879/4060600 879/4060601

pred_cur:1 traget_cur:1 813/662610 813/662611

pred_cur:0 traget_cur:1 841/2117610 841/2117611

pred_cur:1 traget_cur:1 817/832610 817/832611

pred_cur:1 traget_cur:1 873/3766620 873/3766621

pred_cur:1 traget_cur:1 877/3982140 877/3982141

pred_cur:1 traget_cur:1 845/2288630 845/2288631

pred_cur:1 traget_cur:1 835/1791600 835/1791601

pred_cur:1 traget_cur:1 875/3899110 875/3899111

pred_cur:1 traget_cur:1 883/4288100 883/4288101

pred_cur:1 traget_cur:1 836/1833630 836/1833631

pred_cur:1 traget_cur:1 876/3909120 876/3909121

pred_cur:1 traget_cur:1 858/3015600 858/3015601

pred_cur:1 traget_cur:1 871/3643130 871/3643131

pred_cur:1 traget_cur:1 890/4656610 890/4656611

pred_cur:1 traget_cur:1 847/2441120 847/2441121

pred_cur:1 traget_cur:1 822/1119110 822/1119111

pred_cur:1 traget_cur:1 865/3350600 865/3350601

pred_cur:1 traget_cur:1 802/98620 802/98621

pred_cur:1 traget_cur:1 823/1168610 823/1168611

pred_cur:0 traget_cur:1 891/4720130 891/4720131

pred_cur:0 traget_cur:1 884/4344110 884/4344111

pred_cur:1 traget_cur:1 803/118600 803/118601

pred_cur:1 traget_cur:1 819/981140 819/981141

pred_cur:1 traget_cur:1 831/1581620 831/1581621

pred_cur:1 traget_cur:1 893/4797620 893/4797621

pred_cur:1 traget_cur:1 815/768640 815/768641

pred_cur:1 traget_cur:1 884/4358640 884/4358641

pred_cur:1 traget_cur:1 828/1417130 828/1417131

pred_cur:1 traget_cur:1 821/1071600 821/1071601

pred_cur:1 traget_cur:1 842/2171110 842/2171111

pred_cur:1 traget_cur:1 860/3075630 860/3075631

pred_cur:1 traget_cur:1 885/4399100 885/4399101

pred_cur:1 traget_cur:1 899/5119630 899/5119631

pred_cur:1 traget_cur:1 866/3387140 866/3387141

pred_cur:1 traget_cur:1 836/1840630 836/1840631

pred_cur:1 traget_cur:1 845/2331130 845/2331131

pred_cur:1 traget_cur:1 815/760100 815/760101

pred_cur:1 traget_cur:1 814/706640 814/706641

pred_cur:1 traget_cur:1 840/2047140 840/2047141

pred_cur:1 traget_cur:1 855/2830110 855/2830111

pred_cur:1 traget_cur:1 835/1785120 835/1785121

pred_cur:1 traget_cur:1 857/2956640 857/2956641

pred_cur:1 traget_cur:1 887/4513120 887/4513121

pred_cur:1 traget_cur:1 873/3773610 873/3773611

pred_cur:1 traget_cur:1 860/3116620 860/3116621

pred_cur:1 traget_cur:1 878/4018620 878/4018621

pred_cur:1 traget_cur:1 896/4984120 896/4984121

pred_cur:1 traget_cur:1 884/4355100 884/4355101

pred_cur:1 traget_cur:1 844/2284110 844/2284111

pred_cur:1 traget_cur:1 824/1231140 824/1231141

pred_cur:0 traget_cur:1 871/3687100 871/3687101

pred_cur:1 traget_cur:1 824/1207610 824/1207611

pred_cur:1 traget_cur:1 881/4164120 881/4164121

pred_cur:1 traget_cur:1 866/3425140 866/3425141

pred_cur:1 traget_cur:1 898/5051140 898/5051141

pred_cur:1 traget_cur:1 813/658140 813/658141

pred_cur:1 traget_cur:1 824/1203140 824/1203141

pred_cur:1 traget_cur:1 875/3897610 875/3897611

pred_cur:1 traget_cur:1 818/890600 818/890601

pred_cur:1 traget_cur:1 865/3367600 865/3367601

pred_cur:1 traget_cur:1 811/533620 811/533621

pred_cur:1 traget_cur:1 899/5122140 899/5122141

pred_cur:1 traget_cur:1 895/4931140 895/4931141

pred_cur:1 traget_cur:1 802/95600 802/95601

pred_cur:1 traget_cur:1 869/3556610 869/3556611

pred_cur:1 traget_cur:1 864/3284110 864/3284111

pred_cur:1 traget_cur:1 870/3616120 870/3616121

pred_cur:1 traget_cur:1 804/173620 804/173621

pred_cur:0 traget_cur:1 883/4286100 883/4286101

pred_cur:1 traget_cur:1 835/1802600 835/1802601

pred_cur:1 traget_cur:1 825/1251620 825/1251621

