start load data...
load data1 fine...
Iteration is stopped.
tests size: 50115
load data2 fine...
pred_cur:0 traget_cur:1 ic/790/4679620 ic/790/4679621

pred_cur:1 traget_cur:1 ic/749/2507100 ic/749/2507101

pred_cur:1 traget_cur:1 ic/715/760110 ic/715/760111

pred_cur:1 traget_cur:1 ic/786/4455140 ic/786/4455141

pred_cur:1 traget_cur:1 ic/743/2206130 ic/743/2206131

pred_cur:1 traget_cur:1 ic/770/3601630 ic/770/3601631

pred_cur:1 traget_cur:1 ic/733/1694640 ic/733/1694641

pred_cur:1 traget_cur:1 ic/702/89600 ic/702/89601

pred_cur:1 traget_cur:1 ic/707/357110 ic/707/357111

pred_cur:1 traget_cur:1 ic/797/5041140 ic/797/5041141

pred_cur:1 traget_cur:1 ic/714/705140 ic/714/705141

pred_cur:1 traget_cur:1 ic/753/2732110 ic/753/2732111

pred_cur:1 traget_cur:1 ic/742/2175620 ic/742/2175621

pred_cur:1 traget_cur:1 ic/724/1242620 ic/724/1242621

pred_cur:1 traget_cur:1 ic/708/388640 ic/708/388641

pred_cur:1 traget_cur:1 ic/762/3223100 ic/762/3223101

pred_cur:1 traget_cur:1 ic/762/3174640 ic/762/3174641

pred_cur:1 traget_cur:1 ic/749/2538140 ic/749/2538141

pred_cur:1 traget_cur:1 ic/721/1047140 ic/721/1047141

pred_cur:1 traget_cur:1 ic/729/1466630 ic/729/1466631

pred_cur:1 traget_cur:1 ic/723/1163630 ic/723/1163631

pred_cur:1 traget_cur:1 ic/717/876120 ic/717/876121

pred_cur:1 traget_cur:1 ic/775/3875130 ic/775/3875131

pred_cur:1 traget_cur:1 ic/737/1893600 ic/737/1893601

pred_cur:1 traget_cur:1 ic/712/580110 ic/712/580111

pred_cur:1 traget_cur:1 ic/799/5121130 ic/799/5121131

pred_cur:1 traget_cur:1 ic/720/1034620 ic/720/1034621

pred_cur:1 traget_cur:1 ic/708/396140 ic/708/396141

pred_cur:1 traget_cur:1 ic/790/4638120 ic/790/4638121

pred_cur:1 traget_cur:1 ic/746/2384100 ic/746/2384101

pred_cur:1 traget_cur:1 ic/709/459100 ic/709/459101

pred_cur:1 traget_cur:1 ic/798/5049120 ic/798/5049121

pred_cur:0 traget_cur:1 ic/785/4372100 ic/785/4372101

pred_cur:1 traget_cur:1 ic/703/127600 ic/703/127601

pred_cur:1 traget_cur:1 ic/745/2332100 ic/745/2332101

pred_cur:1 traget_cur:1 ic/724/1203130 ic/724/1203131

pred_cur:1 traget_cur:1 ic/709/442140 ic/709/442141

pred_cur:1 traget_cur:1 ic/735/1791640 ic/735/1791641

pred_cur:1 traget_cur:1 ic/773/3786140 ic/773/3786141

pred_cur:0 traget_cur:1 ic/701/13640 ic/701/13641

pred_cur:1 traget_cur:1 ic/714/705640 ic/714/705641

pred_cur:1 traget_cur:1 ic/718/890110 ic/718/890111

pred_cur:1 traget_cur:1 ic/751/2634620 ic/751/2634621

pred_cur:0 traget_cur:1 ic/713/642130 ic/713/642131

pred_cur:1 traget_cur:1 ic/749/2510100 ic/749/2510101

pred_cur:1 traget_cur:1 ic/795/4891130 ic/795/4891131

pred_cur:1 traget_cur:1 ic/746/2340130 ic/746/2340131

pred_cur:1 traget_cur:1 ic/715/761620 ic/715/761621

pred_cur:1 traget_cur:1 ic/769/3578100 ic/769/3578101

pred_cur:1 traget_cur:1 ic/764/3324100 ic/764/3324101

pred_cur:1 traget_cur:1 ic/799/5137120 ic/799/5137121

pred_cur:1 traget_cur:1 ic/777/3959640 ic/777/3959641

pred_cur:1 traget_cur:1 ic/787/4508100 ic/787/4508101

pred_cur:1 traget_cur:1 ic/757/2952640 ic/757/2952641

pred_cur:1 traget_cur:1 ic/736/1826630 ic/736/1826631

pred_cur:1 traget_cur:1 ic/786/4425610 ic/786/4425611

pred_cur:1 traget_cur:1 ic/704/186640 ic/704/186641

pred_cur:1 traget_cur:1 ic/723/1191630 ic/723/1191631

pred_cur:1 traget_cur:1 ic/745/2295610 ic/745/2295611

pred_cur:1 traget_cur:1 ic/719/947630 ic/719/947631

pred_cur:1 traget_cur:1 ic/778/4035610 ic/778/4035611

pred_cur:1 traget_cur:1 ic/734/1752120 ic/734/1752121

pred_cur:1 traget_cur:1 ic/735/1780130 ic/735/1780131

pred_cur:1 traget_cur:1 ic/764/3297600 ic/764/3297601

pred_cur:0 traget_cur:1 ic/743/2233120 ic/743/2233121

pred_cur:1 traget_cur:1 ic/737/1888130 ic/737/1888131

pred_cur:1 traget_cur:1 ic/782/4253620 ic/782/4253621

pred_cur:1 traget_cur:1 ic/718/906110 ic/718/906111

pred_cur:1 traget_cur:1 ic/785/4418640 ic/785/4418641

pred_cur:1 traget_cur:1 ic/755/2858640 ic/755/2858641

pred_cur:1 traget_cur:1 ic/731/1585140 ic/731/1585141

pred_cur:1 traget_cur:1 ic/744/2282100 ic/744/2282101

pred_cur:1 traget_cur:1 ic/797/4994140 ic/797/4994141

pred_cur:1 traget_cur:1 ic/726/1345140 ic/726/1345141

pred_cur:1 traget_cur:1 ic/734/1716640 ic/734/1716641

pred_cur:0 traget_cur:1 ic/737/1915120 ic/737/1915121

pred_cur:1 traget_cur:1 ic/760/3068610 ic/760/3068611

pred_cur:1 traget_cur:1 ic/798/5094600 ic/798/5094601

pred_cur:1 traget_cur:1 ic/715/728120 ic/715/728121

pred_cur:1 traget_cur:1 ic/776/3935130 ic/776/3935131

pred_cur:1 traget_cur:1 ic/725/1274630 ic/725/1274631

pred_cur:1 traget_cur:1 ic/781/4164630 ic/781/4164631

pred_cur:1 traget_cur:1 ic/765/3341610 ic/765/3341611

pred_cur:1 traget_cur:1 ic/722/1122630 ic/722/1122631

pred_cur:1 traget_cur:1 ic/735/1777120 ic/735/1777121

pred_cur:0 traget_cur:1 ic/785/4370140 ic/785/4370141

pred_cur:1 traget_cur:1 ic/739/1996140 ic/739/1996141

pred_cur:1 traget_cur:1 ic/761/3134130 ic/761/3134131

pred_cur:1 traget_cur:1 ic/797/5011110 ic/797/5011111

pred_cur:1 traget_cur:1 ic/763/3250630 ic/763/3250631

pred_cur:1 traget_cur:1 ic/701/8110 ic/701/8111

pred_cur:1 traget_cur:1 ic/714/713130 ic/714/713131

pred_cur:1 traget_cur:1 ic/782/4237110 ic/782/4237111

pred_cur:1 traget_cur:1 ic/717/876140 ic/717/876141

pred_cur:1 traget_cur:1 ic/774/3797120 ic/774/3797121

pred_cur:1 traget_cur:1 ic/776/3938610 ic/776/3938611

pred_cur:1 traget_cur:1 ic/733/1685620 ic/733/1685621

pred_cur:1 traget_cur:1 ic/791/4713130 ic/791/4713131

pred_cur:1 traget_cur:1 ic/702/78120 ic/702/78121

pred_cur:0 traget_cur:1 ic/760/3068100 ic/760/3068101

pred_cur:1 traget_cur:1 ic/724/1200140 ic/724/1200141

pred_cur:1 traget_cur:1 ic/709/444120 ic/709/444121

pred_cur:1 traget_cur:1 ic/777/3968600 ic/777/3968601

pred_cur:1 traget_cur:1 ic/757/2922630 ic/757/2922631

pred_cur:1 traget_cur:1 ic/787/4490600 ic/787/4490601

pred_cur:1 traget_cur:1 ic/729/1501640 ic/729/1501641

pred_cur:1 traget_cur:1 ic/796/4942620 ic/796/4942621

pred_cur:1 traget_cur:1 ic/748/2473610 ic/748/2473611

pred_cur:1 traget_cur:1 ic/706/265110 ic/706/265111

pred_cur:1 traget_cur:1 ic/719/970140 ic/719/970141

pred_cur:1 traget_cur:1 ic/774/3796120 ic/774/3796121

pred_cur:1 traget_cur:1 ic/710/470120 ic/710/470121

pred_cur:1 traget_cur:1 ic/747/2396600 ic/747/2396601

pred_cur:1 traget_cur:1 ic/764/3290610 ic/764/3290611

pred_cur:1 traget_cur:1 ic/748/2487640 ic/748/2487641

pred_cur:1 traget_cur:1 ic/742/2181140 ic/742/2181141

pred_cur:1 traget_cur:1 ic/790/4630140 ic/790/4630141

pred_cur:1 traget_cur:1 ic/720/1004140 ic/720/1004141

pred_cur:1 traget_cur:1 ic/702/79640 ic/702/79641

pred_cur:1 traget_cur:1 ic/770/3618120 ic/770/3618121

pred_cur:1 traget_cur:1 ic/759/3066630 ic/759/3066631

pred_cur:1 traget_cur:1 ic/731/1597630 ic/731/1597631

pred_cur:1 traget_cur:1 ic/714/721100 ic/714/721101

pred_cur:1 traget_cur:1 ic/729/1465640 ic/729/1465641

pred_cur:1 traget_cur:1 ic/788/4553100 ic/788/4553101

pred_cur:1 traget_cur:1 ic/724/1222610 ic/724/1222611

pred_cur:1 traget_cur:1 ic/747/2392110 ic/747/2392111

pred_cur:1 traget_cur:1 ic/750/2552130 ic/750/2552131

pred_cur:1 traget_cur:1 ic/731/1600130 ic/731/1600131

pred_cur:1 traget_cur:1 ic/792/4743620 ic/792/4743621

pred_cur:1 traget_cur:1 ic/766/3399640 ic/766/3399641

pred_cur:1 traget_cur:1 ic/800/5184600 ic/800/5184601

pred_cur:1 traget_cur:1 ic/725/1260140 ic/725/1260141

pred_cur:1 traget_cur:1 ic/752/2691630 ic/752/2691631

pred_cur:1 traget_cur:1 ic/736/1850630 ic/736/1850631

pred_cur:1 traget_cur:1 ic/704/183140 ic/704/183141

pred_cur:1 traget_cur:1 ic/771/3672600 ic/771/3672601

pred_cur:1 traget_cur:1 ic/781/4186620 ic/781/4186621

pred_cur:1 traget_cur:1 ic/748/2480640 ic/748/2480641

pred_cur:1 traget_cur:1 ic/720/1008100 ic/720/1008101

pred_cur:1 traget_cur:1 ic/790/4670100 ic/790/4670101

pred_cur:0 traget_cur:1 ic/728/1427130 ic/728/1427131

pred_cur:0 traget_cur:1 ic/782/4257120 ic/782/4257121

pred_cur:1 traget_cur:1 ic/800/5190120 ic/800/5190121

pred_cur:1 traget_cur:1 ic/790/4666100 ic/790/4666101

pred_cur:1 traget_cur:1 ic/764/3276100 ic/764/3276101

pred_cur:1 traget_cur:1 ic/723/1146620 ic/723/1146621

pred_cur:1 traget_cur:1 ic/771/3668100 ic/771/3668101

pred_cur:1 traget_cur:1 ic/751/2600140 ic/751/2600141

pred_cur:1 traget_cur:1 ic/721/1062140 ic/721/1062141

pred_cur:1 traget_cur:1 ic/795/4928600 ic/795/4928601

pred_cur:1 traget_cur:1 ic/748/2460640 ic/748/2460641

pred_cur:1 traget_cur:1 ic/701/7110 ic/701/7111

pred_cur:1 traget_cur:1 ic/799/5096620 ic/799/5096621

pred_cur:1 traget_cur:1 ic/789/4594130 ic/789/4594131

pred_cur:1 traget_cur:1 ic/749/2547600 ic/749/2547601

pred_cur:1 traget_cur:1 ic/762/3188640 ic/762/3188641

pred_cur:1 traget_cur:1 ic/730/1538130 ic/730/1538131

pred_cur:1 traget_cur:1 ic/757/2933110 ic/757/2933111

pred_cur:1 traget_cur:1 ic/738/1937640 ic/738/1937641

pred_cur:1 traget_cur:1 ic/785/4376140 ic/785/4376141

pred_cur:1 traget_cur:1 ic/755/2823130 ic/755/2823131

pred_cur:1 traget_cur:1 ic/785/4395140 ic/785/4395141

pred_cur:1 traget_cur:1 ic/705/212110 ic/705/212111

pred_cur:1 traget_cur:1 ic/728/1453630 ic/728/1453631

pred_cur:1 traget_cur:1 ic/742/2148140 ic/742/2148141

pred_cur:1 traget_cur:1 ic/785/4385110 ic/785/4385111

pred_cur:1 traget_cur:1 ic/713/665120 ic/713/665121

pred_cur:0 traget_cur:1 ic/784/4331100 ic/784/4331101

pred_cur:1 traget_cur:1 ic/789/4590130 ic/789/4590131

pred_cur:1 traget_cur:1 ic/768/3533130 ic/768/3533131

pred_cur:1 traget_cur:1 ic/734/1741110 ic/734/1741111

pred_cur:1 traget_cur:1 ic/762/3194620 ic/762/3194621

pred_cur:1 traget_cur:1 ic/764/3306100 ic/764/3306101

pred_cur:1 traget_cur:1 ic/773/3775630 ic/773/3775631

pred_cur:1 traget_cur:1 ic/752/2656610 ic/752/2656611

pred_cur:1 traget_cur:1 ic/781/4172110 ic/781/4172111

pred_cur:1 traget_cur:1 ic/722/1109110 ic/722/1109111

pred_cur:1 traget_cur:1 ic/721/1047120 ic/721/1047121

pred_cur:1 traget_cur:1 ic/779/4075100 ic/779/4075101

pred_cur:1 traget_cur:1 ic/713/642640 ic/713/642641

pred_cur:1 traget_cur:1 ic/757/2956100 ic/757/2956101

pred_cur:1 traget_cur:1 ic/735/1810640 ic/735/1810641

pred_cur:1 traget_cur:1 ic/729/1500640 ic/729/1500641

pred_cur:1 traget_cur:1 ic/765/3343610 ic/765/3343611

pred_cur:1 traget_cur:1 ic/708/372130 ic/708/372131

pred_cur:0 traget_cur:1 ic/785/4368140 ic/785/4368141

pred_cur:1 traget_cur:1 ic/793/4809140 ic/793/4809141

pred_cur:1 traget_cur:1 ic/717/845640 ic/717/845641

pred_cur:1 traget_cur:1 ic/771/3690630 ic/771/3690631

pred_cur:1 traget_cur:1 ic/763/3243610 ic/763/3243611

pred_cur:1 traget_cur:1 ic/782/4234600 ic/782/4234601

pred_cur:1 traget_cur:1 ic/755/2814130 ic/755/2814131

pred_cur:1 traget_cur:1 ic/730/1519610 ic/730/1519611

pred_cur:1 traget_cur:1 ic/769/3555600 ic/769/3555601

pred_cur:1 traget_cur:1 ic/770/3595610 ic/770/3595611

pred_cur:1 traget_cur:1 ic/726/1301140 ic/726/1301141

pred_cur:1 traget_cur:1 ic/740/2056600 ic/740/2056601

pred_cur:0 traget_cur:1 ic/773/3761130 ic/773/3761131

pred_cur:1 traget_cur:1 ic/760/3104110 ic/760/3104111

pred_cur:1 traget_cur:1 ic/720/990610 ic/720/990611

pred_cur:1 traget_cur:1 ic/745/2331140 ic/745/2331141

pred_cur:1 traget_cur:1 ic/719/937630 ic/719/937631

pred_cur:1 traget_cur:1 ic/795/4909120 ic/795/4909121

pred_cur:0 traget_cur:1 ic/721/1084600 ic/721/1084601

pred_cur:1 traget_cur:1 ic/720/1007630 ic/720/1007631

pred_cur:1 traget_cur:1 ic/733/1700630 ic/733/1700631

pred_cur:1 traget_cur:1 ic/722/1125120 ic/722/1125121

pred_cur:1 traget_cur:1 ic/796/4986120 ic/796/4986121

pred_cur:0 traget_cur:1 ic/783/4283130 ic/783/4283131

pred_cur:1 traget_cur:1 ic/792/4779600 ic/792/4779601

pred_cur:1 traget_cur:1 ic/742/2155110 ic/742/2155111

pred_cur:1 traget_cur:1 ic/730/1521140 ic/730/1521141

pred_cur:1 traget_cur:1 ic/728/1444100 ic/728/1444101

pred_cur:1 traget_cur:1 ic/770/3613140 ic/770/3613141

pred_cur:1 traget_cur:1 ic/753/2746630 ic/753/2746631

pred_cur:1 traget_cur:1 ic/797/4994600 ic/797/4994601

pred_cur:1 traget_cur:1 ic/760/3107100 ic/760/3107101

pred_cur:1 traget_cur:1 ic/769/3583100 ic/769/3583101

pred_cur:1 traget_cur:1 ic/768/3486630 ic/768/3486631

pred_cur:1 traget_cur:1 ic/735/1775630 ic/735/1775631

pred_cur:1 traget_cur:1 ic/800/5157140 ic/800/5157141

pred_cur:1 traget_cur:1 ic/716/822120 ic/716/822121

pred_cur:1 traget_cur:1 ic/734/1739610 ic/734/1739611

pred_cur:1 traget_cur:1 ic/751/2607140 ic/751/2607141

pred_cur:1 traget_cur:1 ic/763/3257630 ic/763/3257631

pred_cur:1 traget_cur:1 ic/762/3221110 ic/762/3221111

pred_cur:1 traget_cur:1 ic/792/4777130 ic/792/4777131

pred_cur:1 traget_cur:1 ic/745/2313130 ic/745/2313131

pred_cur:1 traget_cur:1 ic/725/1261600 ic/725/1261601

pred_cur:1 traget_cur:1 ic/765/3351630 ic/765/3351631

pred_cur:1 traget_cur:1 ic/773/3752610 ic/773/3752611

pred_cur:1 traget_cur:1 ic/775/3896640 ic/775/3896641

pred_cur:1 traget_cur:1 ic/725/1287640 ic/725/1287641

pred_cur:1 traget_cur:1 ic/706/293630 ic/706/293631

pred_cur:1 traget_cur:1 ic/703/154630 ic/703/154631

pred_cur:1 traget_cur:1 ic/785/4402130 ic/785/4402131

pred_cur:1 traget_cur:1 ic/747/2423110 ic/747/2423111

pred_cur:1 traget_cur:1 ic/723/1174600 ic/723/1174601

pred_cur:1 traget_cur:1 ic/785/4394120 ic/785/4394121

pred_cur:1 traget_cur:1 ic/703/145110 ic/703/145111

pred_cur:1 traget_cur:1 ic/759/3028610 ic/759/3028611

pred_cur:1 traget_cur:1 ic/731/1587120 ic/731/1587121

pred_cur:1 traget_cur:1 ic/763/3268600 ic/763/3268601

pred_cur:1 traget_cur:1 ic/799/5114130 ic/799/5114131

pred_cur:1 traget_cur:1 ic/729/1465100 ic/729/1465101

pred_cur:1 traget_cur:1 ic/781/4204110 ic/781/4204111

pred_cur:1 traget_cur:1 ic/779/4069610 ic/779/4069611

pred_cur:1 traget_cur:1 ic/725/1267630 ic/725/1267631

pred_cur:1 traget_cur:1 ic/738/1950140 ic/738/1950141

pred_cur:1 traget_cur:1 ic/758/3014110 ic/758/3014111

pred_cur:1 traget_cur:1 ic/726/1302120 ic/726/1302121

